stage,event_id,workstation,segment,verification_utc,pump_start_utc,recorded_margin_seconds,max_late_shift_seconds,headroom_seconds,predetermined_classification
S0,MA-20260815-1314,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:03:17Z,2026-08-15T17:03:19Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1315,MED-WS-11,PRE,2026-08-15T17:03:32Z,2026-08-15T17:03:33Z,1.0,0.0,1.0,UNIQUE
S0,MA-20260815-1316,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:03:47Z,2026-08-15T17:03:49Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1317,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:04:02Z,2026-08-15T17:04:04Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1318,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:04:17Z,2026-08-15T17:04:19Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1319,MED-WS-11,PRE,2026-08-15T17:04:32Z,2026-08-15T17:04:33Z,1.0,0.0,1.0,UNIQUE
S0,MA-20260815-1320,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:04:47Z,2026-08-15T17:04:49Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1321,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:05:02Z,2026-08-15T17:05:04Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1322,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:05:17Z,2026-08-15T17:05:19Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1323,MED-WS-11,PRE,2026-08-15T17:05:32Z,2026-08-15T17:05:34Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1324,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:05:47Z,2026-08-15T17:05:49Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1325,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:06:02Z,2026-08-15T17:06:04Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1326,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:06:17Z,2026-08-15T17:06:19Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1327,MED-WS-11,PRE,2026-08-15T17:06:32Z,2026-08-15T17:06:34Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1328,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:06:47Z,2026-08-15T17:06:49Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1329,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:07:02Z,2026-08-15T17:07:04Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1330,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:07:17Z,2026-08-15T17:07:19Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1331,MED-WS-11,PRE,2026-08-15T17:07:32Z,2026-08-15T17:07:34Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1332,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:07:47Z,2026-08-15T17:07:49Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1333,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:08:02Z,2026-08-15T17:08:04Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1334,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:08:17Z,2026-08-15T17:08:19Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1335,MED-WS-11,PRE,2026-08-15T17:08:32Z,2026-08-15T17:08:34Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1336,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:08:47Z,2026-08-15T17:08:49Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1337,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:09:02Z,2026-08-15T17:09:04Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1338,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:09:17Z,2026-08-15T17:09:19Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1339,MED-WS-11,PRE,2026-08-15T17:09:32Z,2026-08-15T17:09:34Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1340,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:09:47Z,2026-08-15T17:09:49Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1341,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:10:02Z,2026-08-15T17:10:04Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1342,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:10:17Z,2026-08-15T17:10:19Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1343,MED-WS-11,POST,2026-08-15T17:10:32Z,2026-08-15T17:10:35Z,3.0,0.0,3.0,UNIQUE
S0,MA-20260815-1344,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:10:47Z,2026-08-15T17:10:49Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1345,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:11:02Z,2026-08-15T17:11:04Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1346,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:11:17Z,2026-08-15T17:11:19Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1347,MED-WS-11,POST,2026-08-15T17:11:32Z,2026-08-15T17:11:35Z,3.0,0.0,3.0,UNIQUE
S0,MA-20260815-1348,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:11:47Z,2026-08-15T17:11:49Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1349,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:12:02Z,2026-08-15T17:12:04Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1350,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:12:17Z,2026-08-15T17:12:19Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1351,MED-WS-11,POST,2026-08-15T17:12:32Z,2026-08-15T17:12:35Z,3.0,0.0,3.0,UNIQUE
S0,MA-20260815-1352,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:12:47Z,2026-08-15T17:12:49Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1353,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:13:02Z,2026-08-15T17:13:04Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1354,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:13:17Z,2026-08-15T17:13:19Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1355,MED-WS-11,POST,2026-08-15T17:13:32Z,2026-08-15T17:13:35Z,3.0,0.0,3.0,UNIQUE
S0,MA-20260815-1356,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:13:47Z,2026-08-15T17:13:49Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1357,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:14:02Z,2026-08-15T17:14:04Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1358,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:14:17Z,2026-08-15T17:14:19Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1359,MED-WS-11,POST,2026-08-15T17:14:32Z,2026-08-15T17:14:35Z,3.0,0.0,3.0,UNIQUE
S0,MA-20260815-1360,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:14:47Z,2026-08-15T17:14:49Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1361,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:15:02Z,2026-08-15T17:15:04Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1362,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:15:17Z,2026-08-15T17:15:19Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1363,MED-WS-11,POST,2026-08-15T17:15:32Z,2026-08-15T17:15:37Z,5.0,0.0,5.0,UNIQUE
S0,MA-20260815-1364,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:15:47Z,2026-08-15T17:15:49Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1365,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:16:02Z,2026-08-15T17:16:04Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1366,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:16:17Z,2026-08-15T17:16:19Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1367,MED-WS-11,POST,2026-08-15T17:16:32Z,2026-08-15T17:16:37Z,5.0,0.0,5.0,UNIQUE
S0,MA-20260815-1368,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:16:47Z,2026-08-15T17:16:49Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1369,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:17:02Z,2026-08-15T17:17:04Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1370,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:17:17Z,2026-08-15T17:17:19Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1371,MED-WS-11,POST,2026-08-15T17:17:32Z,2026-08-15T17:17:37Z,5.0,0.0,5.0,UNIQUE
S0,MA-20260815-1372,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:17:47Z,2026-08-15T17:17:49Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1373,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:18:02Z,2026-08-15T17:18:04Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1374,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:18:17Z,2026-08-15T17:18:19Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1375,MED-WS-11,POST,2026-08-15T17:18:32Z,2026-08-15T17:18:37Z,5.0,0.0,5.0,UNIQUE
S0,MA-20260815-1376,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:18:47Z,2026-08-15T17:18:49Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1377,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:19:02Z,2026-08-15T17:19:04Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1378,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:19:17Z,2026-08-15T17:19:19Z,2.0,0.0,2.0,UNIQUE
S0,MA-20260815-1379,MED-WS-11,POST,2026-08-15T17:19:32Z,2026-08-15T17:19:37Z,5.0,0.0,5.0,UNIQUE
S0,MA-20260815-1380,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:19:47Z,2026-08-15T17:19:49Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1301,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:00:02Z,2026-08-15T17:00:04Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1302,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:00:17Z,2026-08-15T17:00:19Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1303,MED-WS-11,PRE,2026-08-15T17:00:32Z,2026-08-15T17:00:33Z,1.0,3.0832,-2.0832,MULTIPLE_ADMISSIBLE
S1,MA-20260815-1304,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:00:47Z,2026-08-15T17:00:49Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1305,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:01:02Z,2026-08-15T17:01:04Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1306,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:01:17Z,2026-08-15T17:01:19Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1307,MED-WS-11,PRE,2026-08-15T17:01:32Z,2026-08-15T17:01:33Z,1.0,3.0892,-2.0892,MULTIPLE_ADMISSIBLE
S1,MA-20260815-1308,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:01:47Z,2026-08-15T17:01:49Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1309,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:02:02Z,2026-08-15T17:02:04Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1310,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:02:17Z,2026-08-15T17:02:19Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1311,MED-WS-11,PRE,2026-08-15T17:02:32Z,2026-08-15T17:02:33Z,1.0,3.0952,-2.0952,MULTIPLE_ADMISSIBLE
S1,MA-20260815-1312,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:02:47Z,2026-08-15T17:02:49Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1313,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:03:02Z,2026-08-15T17:03:04Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1314,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:03:17Z,2026-08-15T17:03:19Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1315,MED-WS-11,PRE,2026-08-15T17:03:32Z,2026-08-15T17:03:33Z,1.0,3.1012,-2.1012,MULTIPLE_ADMISSIBLE
S1,MA-20260815-1316,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:03:47Z,2026-08-15T17:03:49Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1317,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:04:02Z,2026-08-15T17:04:04Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1318,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:04:17Z,2026-08-15T17:04:19Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1319,MED-WS-11,PRE,2026-08-15T17:04:32Z,2026-08-15T17:04:33Z,1.0,3.1072,-2.1072,MULTIPLE_ADMISSIBLE
S1,MA-20260815-1320,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:04:47Z,2026-08-15T17:04:49Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1321,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:05:02Z,2026-08-15T17:05:04Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1322,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:05:17Z,2026-08-15T17:05:19Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1323,MED-WS-11,PRE,2026-08-15T17:05:32Z,2026-08-15T17:05:34Z,2.0,3.1132,-1.1132,MULTIPLE_ADMISSIBLE
S1,MA-20260815-1324,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:05:47Z,2026-08-15T17:05:49Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1325,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:06:02Z,2026-08-15T17:06:04Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1326,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:06:17Z,2026-08-15T17:06:19Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1327,MED-WS-11,PRE,2026-08-15T17:06:32Z,2026-08-15T17:06:34Z,2.0,3.1192,-1.1192,MULTIPLE_ADMISSIBLE
S1,MA-20260815-1328,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:06:47Z,2026-08-15T17:06:49Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1329,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:07:02Z,2026-08-15T17:07:04Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1330,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:07:17Z,2026-08-15T17:07:19Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1331,MED-WS-11,PRE,2026-08-15T17:07:32Z,2026-08-15T17:07:34Z,2.0,3.1252,-1.1252,MULTIPLE_ADMISSIBLE
S1,MA-20260815-1332,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:07:47Z,2026-08-15T17:07:49Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1333,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:08:02Z,2026-08-15T17:08:04Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1334,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:08:17Z,2026-08-15T17:08:19Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1335,MED-WS-11,PRE,2026-08-15T17:08:32Z,2026-08-15T17:08:34Z,2.0,3.1312,-1.1312,MULTIPLE_ADMISSIBLE
S1,MA-20260815-1336,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:08:47Z,2026-08-15T17:08:49Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1337,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:09:02Z,2026-08-15T17:09:04Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1338,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:09:17Z,2026-08-15T17:09:19Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1339,MED-WS-11,PRE,2026-08-15T17:09:32Z,2026-08-15T17:09:34Z,2.0,3.1372,-1.1372,MULTIPLE_ADMISSIBLE
S1,MA-20260815-1340,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:09:47Z,2026-08-15T17:09:49Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1341,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:10:02Z,2026-08-15T17:10:04Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1342,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:10:17Z,2026-08-15T17:10:19Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1343,MED-WS-11,POST,2026-08-15T17:10:32Z,2026-08-15T17:10:35Z,3.0,0.0,3.0,UNIQUE
S1,MA-20260815-1344,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:10:47Z,2026-08-15T17:10:49Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1345,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:11:02Z,2026-08-15T17:11:04Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1346,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:11:17Z,2026-08-15T17:11:19Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1347,MED-WS-11,POST,2026-08-15T17:11:32Z,2026-08-15T17:11:35Z,3.0,0.0,3.0,UNIQUE
S1,MA-20260815-1348,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:11:47Z,2026-08-15T17:11:49Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1349,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:12:02Z,2026-08-15T17:12:04Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1350,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:12:17Z,2026-08-15T17:12:19Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1351,MED-WS-11,POST,2026-08-15T17:12:32Z,2026-08-15T17:12:35Z,3.0,0.0,3.0,UNIQUE
S1,MA-20260815-1352,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:12:47Z,2026-08-15T17:12:49Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1353,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:13:02Z,2026-08-15T17:13:04Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1354,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:13:17Z,2026-08-15T17:13:19Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1355,MED-WS-11,POST,2026-08-15T17:13:32Z,2026-08-15T17:13:35Z,3.0,0.0,3.0,UNIQUE
S1,MA-20260815-1356,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:13:47Z,2026-08-15T17:13:49Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1357,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:14:02Z,2026-08-15T17:14:04Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1358,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:14:17Z,2026-08-15T17:14:19Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1359,MED-WS-11,POST,2026-08-15T17:14:32Z,2026-08-15T17:14:35Z,3.0,0.0,3.0,UNIQUE
S1,MA-20260815-1360,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:14:47Z,2026-08-15T17:14:49Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1361,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:15:02Z,2026-08-15T17:15:04Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1362,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:15:17Z,2026-08-15T17:15:19Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1363,MED-WS-11,POST,2026-08-15T17:15:32Z,2026-08-15T17:15:37Z,5.0,0.0,5.0,UNIQUE
S1,MA-20260815-1364,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:15:47Z,2026-08-15T17:15:49Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1365,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:16:02Z,2026-08-15T17:16:04Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1366,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:16:17Z,2026-08-15T17:16:19Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1367,MED-WS-11,POST,2026-08-15T17:16:32Z,2026-08-15T17:16:37Z,5.0,0.0,5.0,UNIQUE
S1,MA-20260815-1368,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:16:47Z,2026-08-15T17:16:49Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1369,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:17:02Z,2026-08-15T17:17:04Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1370,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:17:17Z,2026-08-15T17:17:19Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1371,MED-WS-11,POST,2026-08-15T17:17:32Z,2026-08-15T17:17:37Z,5.0,0.0,5.0,UNIQUE
S1,MA-20260815-1372,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:17:47Z,2026-08-15T17:17:49Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1373,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:18:02Z,2026-08-15T17:18:04Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1374,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:18:17Z,2026-08-15T17:18:19Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1375,MED-WS-11,POST,2026-08-15T17:18:32Z,2026-08-15T17:18:37Z,5.0,0.0,5.0,UNIQUE
S1,MA-20260815-1376,MED-WS-14,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:18:47Z,2026-08-15T17:18:49Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1377,MED-WS-07,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:19:02Z,2026-08-15T17:19:04Z,2.0,0.0,2.0,UNIQUE
S1,MA-20260815-1378,MED-WS-08,UNCHARACTERIZED_FACE_VALUE,2026-08-15T17:19:17Z,2026-08-15T17:19:19Z,2.0,0.0,2.0,UNIQUE
